ID;Дата;Время;Офис ID;Менеджер ID;Группа;Товар ID;Производитель ID;Количество;Сумма;Возврат
90;24.07.2015;08:37:25;1;4;13;486;6;1;11869;нет
91;24.07.2015;09:28:25;1;4;8;1426;7;2;13486;нет
92;24.07.2015;09:32:25;3;9;11;51;27;1;10274;нет
93;24.07.2015;10:07:25;1;5;4;1396;50;1;15389;нет
94;24.07.2015;10:59:25;1;4;8;2238;7;2;10560;нет
95;24.07.2015;12:11:25;3;11;13;2227;5;1;7139;нет
96;24.07.2015;13:11:25;1;5;9;3890;22;1;1109,9;нет
97;24.07.2015;13:32:25;2;8;17;364;5;2;12122;нет
98;24.07.2015;14:19:25;1;4;16;1512;5;1;21989;нет
99;24.07.2015;16:33:25;1;5;10;2420;35;2;14058;нет
100;24.07.2015;16:39:25;2;7;9;3111;42;1;803;нет
101;24.07.2015;16:45:25;2;6;18;3073;37;1;594;нет
102;24.07.2015;16:51:25;1;5;7;2892;5;2;1078;нет
103;24.07.2015;17:37:25;0;2;22;3574;28;1;5489;нет
104;24.07.2015;17:44:25;1;3;5;3678;5;1;2739;нет
105;24.07.2015;19:14:25;0;2;7;3323;25;1;1469,6;нет
106;24.07.2015;20:04:25;0;1;4;4490;59;1;3179;нет
107;24.07.2015;20:17:25;3;9;15;586;5;1;7210,5;да
108;24.07.2015;20:31:25;1;3;4;3074;39;1;594;нет
109;24.07.2015;21:13:25;2;6;13;4128;14;1;8789;нет
110;24.07.2015;21:44:25;2;8;11;3573;43;1;3792,8;нет
111;24.07.2015;21:46:25;2;6;8;952;0;1;4180;нет
112;24.07.2015;21:56:25;0;2;5;1643;2;1;13748,9;нет
113;24.07.2015;22:07:25;3;10;8;646;5;1;18865;нет
114;24.07.2015;22:55:25;2;6;22;2039;28;1;4222,9;нет
115;25.07.2015;08:22:25;1;5;14;1347;18;1;3817;нет
116;25.07.2015;10:01:25;3;9;11;3573;27;1;3792,8;нет
117;25.07.2015;10:22:25;1;5;4;3074;6;1;594;нет
118;25.07.2015;10:49:25;2;6;14;4516;25;1;1252,9;нет
119;25.07.2015;12:13:25;2;8;22;3574;43;1;5489;нет
120;25.07.2015;12:42:25;3;10;9;1053;6;1;6050;нет
121;25.07.2015;12:49:25;1;5;13;1220;25;1;10989;нет
122;25.07.2015;13:09:25;2;8;16;3046;6;1;803;нет
123;25.07.2015;13:10:25;3;10;9;3890;5;1;1109,9;нет
124;25.07.2015;13:30:25;0;2;5;3884;41;1;1369,5;нет
125;25.07.2015;13:43:25;2;7;10;4241;48;2;2059,2;нет
126;25.07.2015;13:46:25;1;5;6;2003;5;2;8577,8;нет
127;25.07.2015;13:53:25;0;2;5;3313;42;1;3014;нет
128;25.07.2015;14:09:25;2;6;7;3897;25;1;570,9;нет
129;25.07.2015;14:40:25;0;1;16;1133;6;1;4851;нет
130;25.07.2015;14:48:25;0;2;18;3668;48;1;15389;нет
131;25.07.2015;14:50:25;1;4;13;486;6;1;11869;нет
132;25.07.2015;15:05:25;3;9;14;1216;6;1;8789;нет
133;25.07.2015;15:21:25;2;7;12;372;5;1;8195;нет
134;25.07.2015;15:35:25;0;0;16;2496;27;1;2086,7;нет
135;25.07.2015;15:57:25;2;7;12;1584;5;1;11977,9;нет
136;25.07.2015;16:13:25;1;5;12;1584;5;1;11977,9;нет
137;25.07.2015;16:35:25;3;9;14;406;22;1;3388;нет
138;25.07.2015;16:36:25;2;6;15;4390;6;1;594;нет
139;25.07.2015;17:03:25;0;2;2;4269;7;1;1474;нет
140;25.07.2015;17:20:25;3;11;4;4245;25;1;986,7;нет
141;25.07.2015;17:37:25;3;11;5;3804;23;1;1243;нет
142;25.07.2015;17:40:25;3;9;11;51;43;1;10274;нет
143;25.07.2015;17:56:25;0;2;15;3157;25;1;3407,8;нет
144;25.07.2015;17:58:25;2;8;19;3993;33;1;7777;нет
145;25.07.2015;17:59:25;0;2;9;677;26;1;10923;нет
146;25.07.2015;18:19:25;0;1;22;4459;11;1;1419;нет
147;25.07.2015;18:24:25;2;8;1;3784;5;1;1351,9;нет
148;25.07.2015;18:39:25;3;11;8;310;22;2;16940;нет
149;25.07.2015;18:40:25;2;8;16;3046;24;1;803;нет
150;25.07.2015;18:46:25;1;5;10;3084;6;1;3289;нет
151;25.07.2015;18:54:25;0;2;11;3573;27;1;3792,8;да
152;25.07.2015;19:04:25;1;4;7;3685;7;2;6930;нет
153;25.07.2015;19:06:25;2;6;10;3382;5;1;2189;нет
154;25.07.2015;19:07:25;2;8;13;486;14;1;11869;нет
155;25.07.2015;19:09:25;3;9;20;955;54;1;5388,9;нет
156;25.07.2015;19:14:25;1;5;5;3447;23;1;1651,1;нет
157;25.07.2015;19:18:25;0;2;14;3974;53;1;1295,8;нет
158;25.07.2015;19:20:25;2;6;5;3049;16;1;1369,5;нет
159;25.07.2015;19:26:25;2;8;2;1764;6;1;10120;нет
160;25.07.2015;19:37:25;2;6;13;208;25;1;9300,5;нет
161;25.07.2015;19:39:25;2;7;15;3931;5;1;647,9;нет
162;25.07.2015;19:48:25;3;9;3;1960;16;1;4433;нет
163;25.07.2015;19:53:25;2;6;22;3687;10;1;4389;нет
164;25.07.2015;20:02:25;3;9;13;2233;6;1;23089;нет
165;25.07.2015;21:14:25;1;4;7;3785;11;2;2703,8;нет
166;25.07.2015;21:40:25;1;3;12;1399;5;1;16489;нет
167;25.07.2015;21:41:25;1;3;7;4380;6;1;2739;нет
168;25.07.2015;21:49:25;2;6;13;4128;6;1;8789;нет
169;25.07.2015;22:09:25;2;6;12;206;5;1;9300,5;нет
170;25.07.2015;22:14:25;1;4;9;3597;50;1;4389;нет
171;25.07.2015;22:30:25;0;2;3;3653;6;1;1338,7;нет
172;25.07.2015;22:42:25;0;0;9;1810;19;1;6050;нет
173;26.07.2015;08:24:25;2;7;4;1865;8;1;5278,9;нет
174;26.07.2015;09:33:25;1;5;16;3700;3;1;1529;нет
175;26.07.2015;09:59:25;2;8;6;1279;35;1;30679;нет
176;26.07.2015;10:14:25;1;5;9;2152;7;1;9651,4;нет
177;26.07.2015;10:39:25;2;8;16;2707;24;1;4950;нет
178;26.07.2015;11:45:25;2;6;5;4039;11;1;4728,9;нет
179;26.07.2015;11:46:25;2;8;5;2457;2;1;2079;да
180;26.07.2015;12:00:25;0;2;9;3831;42;1;3676,2;нет
181;26.07.2015;12:05:25;1;5;16;1133;28;1;4851;нет
182;26.07.2015;12:11:25;1;4;10;3382;48;1;2189;нет
183;26.07.2015;12:19:25;0;2;4;3726;3;1;1617;нет
184;26.07.2015;12:26:25;2;8;20;4036;63;1;5498,9;нет
185;26.07.2015;12:34:25;0;2;5;1955;50;1;20889;нет
186;26.07.2015;12:46:25;3;10;3;345;7;1;13271,5;нет
187;26.07.2015;12:47:25;1;4;14;4516;25;1;1252,9;нет
188;26.07.2015;13:51:25;2;6;16;3700;2;1;1529;нет
189;26.07.2015;13:56:25;1;5;5;3505;3;1;702,9;нет
190;26.07.2015;13:59:25;3;10;4;4086;38;1;1529;нет
191;26.07.2015;14:15:25;1;5;10;4241;2;2;2059,2;нет
192;26.07.2015;14:34:25;2;8;17;364;5;2;12122;нет
193;26.07.2015;14:59:25;3;9;5;168;53;1;11390,5;нет
194;26.07.2015;15:00:25;2;6;15;4474;5;1;3289;нет
195;26.07.2015;15:02:25;1;3;16;2176;28;1;6259;нет
196;26.07.2015;15:13:25;1;4;3;1860;7;1;3289;нет
197;26.07.2015;15:19:25;1;4;11;3406;27;1;3289;нет
198;26.07.2015;15:21:25;1;3;9;2301;50;1;2176,9;нет
199;26.07.2015;15:49:25;3;9;22;2039;11;1;4222,9;нет
200;26.07.2015;16:20:25;0;1;7;1339;3;1;3674;нет
201;26.07.2015;16:33:25;3;11;1;2034;33;1;4222,9;нет
202;26.07.2015;17:23:25;1;3;12;372;5;1;8195;нет
203;26.07.2015;17:25:25;0;2;12;1584;5;1;11977,9;нет
204;26.07.2015;18:21:25;1;5;16;3046;24;1;803;нет
205;26.07.2015;18:43:25;2;8;19;4458;42;1;1419;нет
206;26.07.2015;19:19:25;3;9;13;208;25;1;9300,5;нет
207;26.07.2015;19:35:25;3;9;22;3687;11;1;4389;нет
208;26.07.2015;20:18:25;2;7;19;2809;0;1;1054,9;нет
209;27.07.2015;12:35:25;0;2;8;507;6;2;7257,8;нет
210;27.07.2015;14:23:25;1;5;13;2233;6;1;23089;нет
211;27.07.2015;15:00:25;1;5;3;2936;34;1;5487,9;нет
212;27.07.2015;17:55:25;0;0;7;3110;24;2;1487,2;нет
213;27.07.2015;18:21:25;1;5;15;3768;5;1;1351,9;нет
214;27.07.2015;18:31:25;2;8;8;507;7;2;7257,8;нет
215;27.07.2015;19:18:25;3;11;12;1399;5;1;16489;нет
216;27.07.2015;21:24:25;3;9;7;3635;23;1;517;нет
217;27.07.2015;21:26:25;0;1;5;3798;3;1;3289;нет
218;27.07.2015;21:34:25;0;0;10;3587;33;1;3289;нет
219;27.07.2015;22:37:25;1;3;5;1026;15;1;10263;нет
220;27.07.2015;22:42:25;2;8;7;3413;11;2;3823,6;нет
221;27.07.2015;22:54:25;2;8;18;4392;6;2;1188;нет
222;28.07.2015;11:46:25;2;6;5;3537;5;1;1408;нет
223;28.07.2015;13:08:25;2;8;17;364;6;2;12122;да
224;28.07.2015;13:28:25;3;10;12;206;5;1;9300,5;нет
225;28.07.2015;14:00:25;2;6;16;4325;24;1;3729;да
226;28.07.2015;14:47:25;2;8;17;364;5;2;12122;нет
227;28.07.2015;15:07:25;0;0;0;4460;61;1;1419;нет
228;28.07.2015;16:13:25;2;8;4;2142;12;1;1199;нет
229;28.07.2015;17:59:25;3;9;9;3594;60;1;790,9;нет
230;28.07.2015;18:19:25;2;7;3;1172;13;1;4288,9;нет
231;28.07.2015;19:23:25;3;9;20;4502;6;1;1089;нет
232;28.07.2015;19:42:25;2;8;11;1821;1;1;6308,5;нет
233;28.07.2015;20:36:25;3;10;9;3252;1;1;1482,8;нет
234;28.07.2015;20:44:25;2;8;18;4150;5;1;649;нет
235;28.07.2015;20:59:25;1;4;8;507;0;1;3628,9;нет
236;28.07.2015;21:01:25;2;8;17;364;5;1;6061;нет
237;28.07.2015;21:25:25;1;4;7;1645;9;2;6820;нет
238;28.07.2015;21:31:25;2;6;19;3020;45;1;6039;нет
239;28.07.2015;22:01:25;3;9;22;3462;28;1;5489;нет
240;28.07.2015;22:10:25;2;8;9;34;14;1;17242,5;нет
241;28.07.2015;22:17:25;2;8;20;4502;63;1;1089;нет
242;28.07.2015;22:42:25;2;8;18;3133;50;2;11475,2;нет
243;29.07.2015;08:04:25;2;8;20;4502;63;1;1089;нет
244;29.07.2015;09:09:25;0;0;18;4392;50;1;594;нет
245;29.07.2015;09:44:25;2;8;19;4046;33;1;5157,9;нет
246;29.07.2015;10:21:25;0;1;9;3513;42;1;8569;нет
247;29.07.2015;10:33:25;3;10;9;3245;33;1;8789;нет
248;29.07.2015;10:53:25;2;8;9;2990;33;1;5409,8;нет
249;29.07.2015;10:55:25;2;7;20;4502;54;1;1089;нет
250;29.07.2015;11:41:25;3;9;5;1743;0;1;3619;нет
251;29.07.2015;11:49:25;1;5;9;2768;25;1;1639;нет
252;29.07.2015;11:54:25;3;10;7;3897;0;2;1141,8;нет
253;29.07.2015;12:02:25;0;2;3;2394;17;1;8426;нет
254;29.07.2015;13:26:25;1;4;7;2602;5;1;1235,3;нет
255;29.07.2015;15:11:25;2;8;5;1273;29;1;12430;нет
256;29.07.2015;15:24:25;1;3;7;4396;54;1;1265;нет
257;29.07.2015;16:05:25;0;0;8;507;6;1;3628,9;да
258;29.07.2015;16:57:25;0;0;20;4502;6;1;1089;нет
259;29.07.2015;17:23:25;3;9;9;2014;37;1;1274,9;нет
260;29.07.2015;17:44:25;0;0;13;2227;5;1;7139;нет
261;29.07.2015;18:26:25;1;5;0;3851;49;1;1298;нет
262;29.07.2015;18:45:25;2;8;22;2450;43;1;5020,4;нет
263;29.07.2015;19:15:25;3;10;10;4248;0;2;2310;нет
264;29.07.2015;19:25:25;0;1;12;372;5;1;8195;нет
265;29.07.2015;19:51:25;1;4;3;1390;22;1;2409;нет
266;29.07.2015;19:53:25;0;1;8;3223;0;2;11220;нет
267;29.07.2015;20:06:25;3;9;5;3801;7;1;6798;нет
268;29.07.2015;20:11:25;0;0;13;2227;25;1;7139;нет
269;29.07.2015;20:28:25;2;6;12;2113;5;1;23584;нет
270;29.07.2015;20:39:25;2;8;7;2602;3;2;2470,6;да
271;29.07.2015;20:40:25;3;10;13;486;14;1;11869;нет
272;29.07.2015;20:43:25;2;8;12;372;5;1;8195;нет
273;29.07.2015;20:53:25;1;3;18;2939;35;1;7480;нет
274;29.07.2015;21:02:25;1;3;5;3647;27;1;1419;нет
275;29.07.2015;21:11:25;3;10;15;4474;9;1;3289;нет
276;29.07.2015;21:18:25;0;0;4;4134;35;1;1494,9;нет
277;29.07.2015;21:21:25;1;3;5;602;48;1;9339;нет
278;29.07.2015;21:46:25;1;5;10;1574;50;2;17930;нет
279;29.07.2015;22:08:25;1;4;4;2495;24;1;2088,9;нет
280;29.07.2015;22:24:25;1;3;4;3439;42;1;1089;нет
281;30.07.2015;08:36:25;1;5;20;1385;54;1;5388,9;нет
282;30.07.2015;10:07:25;1;3;5;1325;41;1;5877,3;нет
283;30.07.2015;11:21:25;2;8;1;938;41;1;5324;нет
284;30.07.2015;11:40:25;1;3;20;4502;11;1;1089;нет
285;30.07.2015;12:41:25;2;8;7;3237;11;2;9457,8;нет
286;30.07.2015;13:08:25;1;4;5;3566;3;1;9887,9;нет
287;30.07.2015;14:04:25;3;11;9;3111;2;1;803;нет
288;30.07.2015;15:21:25;2;6;17;364;6;1;6061;нет
289;30.07.2015;17:00:25;1;4;14;3260;53;1;1197,9;нет
290;30.07.2015;18:32:25;2;8;9;4426;6;1;990;нет
291;30.07.2015;18:37:25;0;1;17;2276;5;1;60489;нет
292;30.07.2015;18:46:25;1;4;14;1754;50;1;1240,8;нет
293;30.07.2015;19:26:25;2;8;4;1806;7;1;1857,9;нет
294;30.07.2015;19:43:25;2;7;22;3687;11;1;4389;нет
295;30.07.2015;19:53:25;0;0;9;3252;13;1;1482,8;нет
296;30.07.2015;19:57:25;0;0;10;4391;14;1;594;нет
297;30.07.2015;20:18:25;2;6;20;4036;6;1;5498,9;нет
298;30.07.2015;20:35:25;2;6;11;1420;1;1;15829;нет
299;30.07.2015;20:51:25;0;1;17;364;6;1;6061;нет
300;30.07.2015;21:05:25;2;7;10;500;33;2;7257,8;нет
301;30.07.2015;21:25:25;0;2;6;3926;22;2;2860;нет
302;30.07.2015;21:34:25;3;11;5;4260;7;1;2308,9;нет
303;30.07.2015;21:42:25;1;5;22;3687;11;1;4389;нет
304;30.07.2015;21:46:25;2;8;22;3574;10;1;5489;нет
305;30.07.2015;21:56:25;1;5;20;1385;6;1;5388,9;нет
306;30.07.2015;22:09:25;2;7;4;1422;33;1;14278;да
307;30.07.2015;22:13:25;2;8;19;3880;33;1;1639;нет
308;30.07.2015;22:22:25;0;2;5;3113;23;1;743,6;да
309;30.07.2015;22:29:25;2;8;7;4242;5;1;1029,6;нет
310;30.07.2015;22:42:25;1;4;16;3046;3;1;803;нет
311;31.07.2015;08:08:25;2;8;18;4150;11;1;649;нет
312;31.07.2015;08:11:25;1;5;5;829;23;1;9020;нет
313;31.07.2015;08:24:25;2;8;16;2818;2;1;1538,9;нет
314;31.07.2015;10:24:25;2;6;8;952;11;1;4180;нет
315;31.07.2015;10:32:25;2;8;14;3974;4;1;1295,8;нет
316;31.07.2015;11:02:25;2;8;16;1203;5;1;18425;нет
317;31.07.2015;12:03:25;1;5;10;3754;48;2;11217,8;нет
318;31.07.2015;12:34:25;0;2;16;2707;5;1;4950;нет
319;31.07.2015;13:03:25;1;4;19;1655;6;1;13693,9;нет
320;31.07.2015;13:52:25;0;0;4;2930;51;1;3188,9;нет
321;31.07.2015;14:18:25;1;3;8;2238;0;2;10560;нет
322;31.07.2015;14:58:25;3;11;16;2388;14;1;4279;нет
323;31.07.2015;15:57:25;3;9;4;4239;22;1;1056;нет
324;31.07.2015;16:35:25;2;6;17;364;5;2;12122;нет
325;31.07.2015;17:46:25;2;6;8;507;0;1;3628,9;да
326;31.07.2015;18:15:25;3;11;8;1776;0;1;5830;да
327;31.07.2015;18:19:25;1;4;20;4502;63;1;1089;нет
328;31.07.2015;18:25:25;0;1;8;952;0;1;4180;нет
329;31.07.2015;18:36:25;0;0;8;646;22;2;37730;нет
330;31.07.2015;18:58:25;1;4;12;372;5;1;8195;нет
331;31.07.2015;19:06:25;2;7;10;4241;35;1;1029,6;нет
332;31.07.2015;19:19:25;0;2;5;4102;32;1;3298,9;нет
333;31.07.2015;19:28:25;0;2;13;4128;4;1;8789;да
334;31.07.2015;19:33:25;2;6;8;1776;6;1;5830;нет
335;31.07.2015;19:38:25;1;5;14;1809;4;1;4838,9;нет
336;31.07.2015;19:55:25;2;8;10;46;14;1;10780;нет
337;31.07.2015;19:58:25;1;3;19;4458;42;1;1419;нет
338;31.07.2015;20:54:25;2;8;10;4241;0;1;1029,6;нет
339;31.07.2015;21:13:25;0;0;10;3187;2;1;867,9;нет
340;31.07.2015;21:17:25;2;8;15;4496;37;1;1089;нет
341;31.07.2015;21:32:25;0;0;22;4459;10;1;1419;да
342;31.07.2015;21:52:25;3;11;8;507;5;2;7257,8;да
343;31.07.2015;21:55:25;0;1;12;372;5;1;8195;нет
344;31.07.2015;22:04:25;3;10;16;2176;3;1;6259;нет
345;31.07.2015;22:19:25;2;8;7;3618;54;1;3286,8;нет
346;31.07.2015;22:29:25;0;1;9;3324;50;1;1469,6;нет
347;31.07.2015;22:33:25;3;9;12;2025;5;1;19074;нет
348;01.08.2015;12:03:25;0;1;5;1445;63;1;15840;нет
349;01.08.2015;12:17:25;3;10;7;3530;54;2;2791,8;нет
350;01.08.2015;12:24:25;2;8;15;3931;43;1;647,9;нет
351;01.08.2015;12:44:25;3;11;20;4036;54;1;5498,9;нет
352;01.08.2015;13:00:25;2;8;4;4144;5;1;1199;нет
353;01.08.2015;13:17:25;1;4;11;1821;27;1;6308,5;нет
354;01.08.2015;14:25:25;3;11;19;2603;0;1;1235,3;нет
355;01.08.2015;14:27:25;2;8;17;364;5;1;6061;нет
356;01.08.2015;14:35:25;3;9;9;3902;6;1;5168,9;нет
357;01.08.2015;14:36:25;2;8;12;1584;5;1;11977,9;нет
358;01.08.2015;15:03:25;0;1;18;2919;17;2;5805,8;нет
359;01.08.2015;15:24:25;1;3;3;3872;5;1;1929,4;нет
360;01.08.2015;15:28:25;2;6;14;3974;24;1;1295,8;нет
361;01.08.2015;15:40:25;3;11;14;4139;24;1;1041,7;нет
362;01.08.2015;15:47:25;1;3;8;952;6;1;4180;нет
363;01.08.2015;15:49:25;1;4;18;3073;22;1;594;нет
364;01.08.2015;15:52:25;2;8;4;2002;59;1;4288,9;нет
365;01.08.2015;15:54:25;2;6;13;208;14;1;9300,5;нет
366;01.08.2015;16:21:25;2;7;13;2227;14;1;7139;нет
367;01.08.2015;16:27:25;3;10;17;364;5;2;12122;нет
368;01.08.2015;16:42:25;2;6;0;2480;35;1;3399;нет
369;01.08.2015;16:44:25;3;9;7;4380;37;2;5478;нет
370;01.08.2015;16:50:25;2;7;17;364;5;1;6061;нет
371;01.08.2015;16:54:25;2;8;16;1887;37;1;5146,9;нет
372;01.08.2015;17:12:25;3;9;18;3073;25;2;1188;нет
373;01.08.2015;17:13:25;3;10;10;4241;50;1;1029,6;нет
374;01.08.2015;17:43:25;2;8;5;3798;27;1;3289;да
375;01.08.2015;17:50:25;1;5;12;372;5;1;8195;нет
376;01.08.2015;18:08:25;2;8;19;2746;18;1;3584,9;нет
377;01.08.2015;18:11:25;0;2;16;4552;27;1;4387,9;нет
378;01.08.2015;18:15:25;3;11;9;459;20;1;19547;нет
379;01.08.2015;19:01:25;1;4;10;3097;6;1;5709;нет
380;01.08.2015;19:11:25;2;8;9;2567;2;1;6037,9;нет
381;01.08.2015;19:21:25;3;9;9;3933;3;1;647,9;нет
382;01.08.2015;19:26:25;3;9;4;3677;12;1;2739;нет
383;01.08.2015;19:43:25;0;1;20;765;6;1;5368;нет
384;01.08.2015;19:47:25;1;5;22;4459;28;1;1419;нет
385;01.08.2015;19:50:25;2;7;16;2707;14;1;4950;нет
386;01.08.2015;21:00:25;0;1;5;3943;23;1;792;нет
387;01.08.2015;21:20:25;0;1;19;2746;24;1;3584,9;нет
388;01.08.2015;21:31:25;0;0;13;208;4;1;9300,5;нет
389;01.08.2015;21:57:25;2;8;5;4328;48;1;979;нет
390;01.08.2015;22:17:25;0;1;7;4314;7;1;1274,9;нет
391;01.08.2015;22:40:25;2;8;10;4280;5;1;1004,3;нет
392;02.08.2015;10:57:25;2;7;3;3870;27;1;1419;нет
393;02.08.2015;12:01:25;2;6;16;3046;37;1;803;нет
394;02.08.2015;12:16:25;2;7;10;4391;50;2;1188;нет
395;02.08.2015;12:20:25;0;0;7;3158;43;1;3407,8;нет
396;02.08.2015;12:26:25;2;6;17;364;6;2;12122;нет
397;02.08.2015;12:46:25;2;6;20;765;54;1;5368;нет
398;02.08.2015;13:04:25;2;8;16;3359;3;1;5379;нет
399;02.08.2015;13:32:25;2;6;16;3372;6;1;5489;нет
400;02.08.2015;13:51:25;1;3;16;2496;24;1;2086,7;нет
401;02.08.2015;14:16:25;2;8;9;3854;6;1;1037,3;нет
402;02.08.2015;14:21:25;2;6;16;1203;3;1;18425;нет
